alpha,total_fixed_points,stable_fixed_points,fixed_points,stable_points
5.1000000000000005,3,2,"[(0.20425917885201875, 4.895740821147983), (1.5285557766434081, 1.5285557766434075), (4.89574082114798, 0.20425917885201994)]","[(0.20425917885201875, 4.895740821147983), (4.89574082114798, 0.20425917885201994)]"
5.2,3,2,"[(0.1999999999999998, 5.000000000000001), (1.5409528028965451, 1.5409528028965476), (5.000000000000002, 0.19999999999999987)]","[(0.1999999999999998, 5.000000000000001), (5.000000000000002, 0.19999999999999987)]"
5.3,3,2,"[(0.1959217616383943, 5.1040782383616055), (1.553177340709855, 1.5531773407098561), (5.104078238361606, 0.19592176163839464)]","[(0.1959217616383943, 5.1040782383616055), (5.104078238361606, 0.19592176163839464)]"
5.4,3,2,"[(0.19201275920311028, 5.207987240796889), (1.5652351092327539, 1.5652351092327557), (5.207987240796889, 0.19201275920310962)]","[(0.19201275920311028, 5.207987240796889), (5.207987240796889, 0.19201275920310962)]"
5.5,3,2,"[(0.18826230851010073, 5.311737691489899), (1.577131534471344, 1.5771315344713424), (5.311737691489901, 0.1882623085101003)]","[(0.18826230851010073, 5.311737691489899), (5.311737691489901, 0.1882623085101003)]"
5.6000000000000005,3,2,"[(0.18466063387559506, 5.415339366124407), (1.5888717693559404, 1.5888717693559429), (5.415339366124405, 0.18466063387559584)]","[(0.18466063387559506, 5.415339366124407), (5.415339366124405, 0.18466063387559584)]"
5.7,3,2,"[(0.18119877098349751, 5.518801229016502), (1.6004607121054293, 1.6004607121054275), (5.518801229016503, 0.18119877098349643)]","[(0.18119877098349751, 5.518801229016502), (5.518801229016503, 0.18119877098349643)]"
5.800000000000001,3,2,"[(0.17786848223676222, 5.622131517763236), (1.6119030230596993, 1.611903023059697), (5.622131517763242, 0.17786848223676005)]","[(0.17786848223676222, 5.622131517763236), (5.622131517763242, 0.17786848223676005)]"
5.9,3,2,"[(0.17466218272441847, 5.72533781727558), (1.6232031401317295, 1.6232031401317293), (5.7253378172755856, 0.17466218272441641)]","[(0.17466218272441847, 5.72533781727558), (5.7253378172755856, 0.17466218272441641)]"
6.0,3,2,"[(0.1715728752538089, 5.828427124746192), (1.6343652930135428, 1.6343652930135442), (5.82842712474619, 0.17157287525380993)]","[(0.1715728752538089, 5.828427124746192), (5.82842712474619, 0.17157287525380993)]"
6.1000000000000005,3,2,"[(0.16859409315521717, 5.931405906844784), (1.6453935162552897, 1.6453935162552826), (5.931405906844784, 0.16859409315521798)]","[(0.16859409315521717, 5.931405906844784), (5.931405906844784, 0.16859409315521798)]"
6.2,3,2,"[(0.16571984977575752, 6.034280150224243), (1.6562916613235468, 1.6562916613235514), (6.034280150224243, 0.16571984977575802)]","[(0.16571984977575752, 6.034280150224243), (6.034280150224243, 0.16571984977575802)]"
6.300000000000001,3,2,"[(0.16294459375123152, 6.137055406248768), (1.6670634077335142, 1.6670634077335076), (6.137055406248768, 0.16294459375123083)]","[(0.16294459375123152, 6.137055406248768), (6.137055406248768, 0.16294459375123083)]"
6.4,3,2,"[(0.16026316928586848, 6.23973683071413), (1.6777122733394418, 1.6777122733394414), (6.239736830714133, 0.16026316928586726)]","[(0.16026316928586848, 6.23973683071413), (6.239736830714133, 0.16026316928586726)]"
6.5,3,2,"[(0.15767078078675723, 6.34232921921324), (1.688241623859137, 1.6882416238591345), (6.342329219213246, 0.15767078078675456)]","[(0.15767078078675723, 6.34232921921324), (6.342329219213246, 0.15767078078675456)]"
6.6000000000000005,3,2,"[(0.15516296129672197, 6.444837038703279), (1.6986546817001122, 1.6986546817001145), (6.444837038703275, 0.1551629612967226)]","[(0.15516296129672197, 6.444837038703279), (6.444837038703275, 0.1551629612967226)]"
6.7,3,2,"[(0.15273554425036712, 6.547264455749632), (1.7089545341484187, 1.708954534148423), (6.547264455749633, 0.15273554425036653)]","[(0.15273554425036712, 6.547264455749632), (6.547264455749633, 0.15273554425036653)]"
6.800000000000001,3,2,"[(0.15038463814561764, 6.649615361854382), (1.7191441409748083, 1.7191441409748043), (6.649615361854383, 0.15038463814561592)]","[(0.15038463814561764, 6.649615361854382), (6.649615361854383, 0.15038463814561592)]"
6.9,3,2,"[(0.1481066037801867, 6.751893396219816), (1.7292263415075868, 1.7292263415075826), (6.751893396219814, 0.14810660378018856)]","[(0.1481066037801867, 6.751893396219816), (6.751893396219814, 0.14810660378018856)]"
7.0,3,2,"[(0.14589803375031687, 6.854101966249682), (1.7392038612166938, 1.7392038612166938), (6.854101966249684, 0.1458980337503155)]","[(0.14589803375031687, 6.854101966249682), (6.854101966249684, 0.1458980337503155)]"
7.1000000000000005,3,2,"[(0.1437557339497813, 6.956244266050218), (1.7490793178491653, 1.7490793178491728), (6.95624426605022, 0.14375573394978028)]","[(0.1437557339497813, 6.956244266050218), (6.95624426605022, 0.14375573394978028)]"
7.2,3,2,"[(0.1416767068418805, 7.058323293158122), (1.7588552271524285, 1.7588552271524258), (7.058323293158116, 0.1416767068418835)]","[(0.1416767068418805, 7.058323293158122), (7.058323293158116, 0.1416767068418835)]"
7.300000000000001,3,2,"[(0.13965813630637802, 7.160341863693625), (1.7685340082183534, 1.7685340082183556), (7.160341863693623, 0.13965813630637952)]","[(0.13965813630637802, 7.160341863693625), (7.160341863693623, 0.13965813630637952)]"
